x,y,split
와 ㅅㅂ 잠시만요,😍,0.17047887843049006
그정도면이쁜거지ㅇㅈㄹ하믄것도걍 어쩌라고싶음하,N,-0.46177396074514276
ㅇㅉ라고 내가 표지만들엇냐고 걍 올해 표지가 족같다고 내가옛날얘기꺼낸적잇냐고ㅜ죄송해요저도고삼이라그런지예민해서ㅠ,N,-0.9217020275013086
헤헷콩딱 가끔 재업 타래,❤,0.44090871100501217
국민 국민연성  샘,N,-0.9038965885977911
이형열얘 누가 녹였어,N,0.02860950208038027
만원으로 줄인다는 건가,N,0.901532488453631
이게 공약이야  하지만 알면서도 또 놀라는 재미,N,-1.5974190067883485
아 깜짝아  왜이러케 목소리가 커어,N,1.0317695223898342
문별  복붙실검 올라가면 현근택 잘린다,N,0.15177884645277204
현근택꼴보기싫어윤석열찍는다 뿌듯하네요,😊,0.08473979309270431
에 양도합니다 양도합니다 디엠주세요,😊,-1.3542644520740978
포카 찬희 엽서 찬희필름 케빈 포춘 상연 앨범 문버전,N,0.11966188399873572
어디 몸에 생채기는 나진 않았나요,N,-0.2923894744072632
이리 얼굴을 또 맞이하니 기쁘네요,N,-1.2261144600606877
언니 안녕 헤헿 온마음 다해 널,😊,1.1381877152502813
그쵸앗 그리고 샘,N,-0.6607953782401371
문 두드리는 사람 잇음 말해요저일거에요가까이서 한번더 보게요,N,2.5966309248039643
달밤이랑 수다할 날도 기다려 기다려,💜,-1.8265012185854685
드려요괄은 꼭 부탁드릴게요,🥺,-1.6370414075496231
비나이다 비나이다,🙏,-0.16247639888241253
피자치킨에 진심인 울 짱플러 우당탕탕 춤추는걸 보는데 저도 모르게 심장이 쿵쿵쿵 나와줄거라고 부시모 믿습ㄴ다,🙏,-0.40304883735507957
주차는 막을 수 있어요,N,-0.6728865278340527
밀밀린다고요우리가요,N,-0.13785175014883552
설마 진짜요알티만이라도 해주세요,🙏,0.08449992617781583
소솔직히 이거 올렸을때 아무도 안눌러주시면 삭제해야지 힛,N,-0.79774004468456
이러고 있었는데 끝까지 완주할 수 있도록 마음 눌러주신 샘들 넘 감사합니다,❤,-0.3573387430318793
오래봐요   극도 같이보구,N,-0.19640677464324763
기간 월 일입금폼,N,-0.8567457450715472
와 역시 춤선 좋다,N,1.2010455247522607
역시 아이돌 짬바,N,1.1406756614279636
쥬지에 초콜릿발라서 달달하게 빨아먹는 상상,💕,0.1831457643291421
동양풍 메르헨스타 카나타 넘 예쁘지 않나요,N,-0.4325673128268471
ㅠㅜ 개쥬님께서 알티이벤 당첨으로 그려주셨답니다 감사합니다,N,-0.7833239887166709
에이스 초이스  샤이니트친소 샤월트친소 샤이니트친소 샤월트친소트친소 거의 반년만에 돌리는 거 가튼디탐라가 너무 정체돼잇어서 올립니더ㅓ,N,-0.5635129291630601
진입장벽 안 높으니 친구해오,💕,0.38387412976145446
흔적 남기시면 제가 찾아갈게욥    굿나잇,💕,-0.3069007934835998
쏘옥 하아ㅏ하악,N,-0.7050548532828195
너무 귀여워 움쪽쪽 사랑해,😭,0.49330088643097225
의 기운받아 위까지,😭,-1.994072589085961
오늘도 고마워요  케플러  민서야,N,0.5281066407216247
덕분에 매일 행복해요,😭,0.676129034180649
오늘은 호랑이로 변신,💜,-0.39609928383866705
오늘도 고마워요  케플러  진짜 재윤이 왤케 잘생겼지요,N,0.6559712334369975
귀여워 예서케플러,N,1.648229949454406
최초 공개 변화무쌍한,N,1.4301495864580047
편하게 흔적 남겨주시면 찾아갈게요,😘,0.1097460515549809
덕자 이뱅 당첨은 처음이라 조금 서툴지만 잘 해주셔서 너무 감사했어요,N,1.4535132492608964
잘 쓰겠습니다에티로부터온사랑 감사합니다,N,-0.5066243367376468
꾸금이랑 아닌거 두가지 버전이라,N,-0.3893582651597509
꾸금을 쓰는 중이었습니다,😘,-0.07168340938955194
이기야 그치만 나는 쥐뿔도 양심이 없는 인간이지정구기오빠 보고 심장이 뛴다면 알티해줘여,😘,1.293773518689528
팔 감사합니다,👍,0.45915033969072977
앷누도 고마워   굿굿,👍,-2.550754248027372
친구들이 좋은 취지로 시작한 프로젝트에 응원 보내주시면 감사드리겠슴댜 병 리싸이클 된 소재로 제작 무려 웨이로 제작을 했다네여 아직 오픈 전이라 알림신청 하시면 오픈시 알림받고 얼리버드가에 내가 뭐랬어 이길거랬잖아 이 기적아닌 기적을 우리가 만들었ㅏㅏㅏ위탈환,N,-0.7225353989637474
킹미들과 함께라서 언제나 든든합니다,👍,-1.0267093840553987
추첨은 월 일 오후 중으로 하겠습니다,N,-0.09800140795839975
투모로우바이투게더  자 시작해 볼까,N,-0.5770035019308513
투표계님 등장 빠밤,N,-1.1575711620323488
아마기 린네 스마트폰 아크릴 거치대,💙,0.6747605207120101
자 시작해 볼까,N,0.9913477865453704
너무 기쁘고 고마웠던 그날,💜,-0.3747715053741124
희로애락 킹덤 단,N,-0.8743050650096685
와 함께하는 밤의라디오 번째 밤이 시작됩니다,N,-2.0893167778716317
펜밤라 장학 퀴즈가 펼쳐집니다,N,-0.18342333193324264
오늘도 함께해요,😁,-0.7282927229246151
미안하다사랑한다,😁,-0.5910714084899467
사진작가에게는 꿈같은 섬,N,-0.01153376870294144
정원이랑 찍은 히히,😁,-0.05589418074084085
일곱이 모두 모였습니다뚠뚠해서 더 귀여워요,🥰,-0.10510448204135231
해적 도깨비 깃발 출장십오야열정 해적선 단원들과,🔥,-1.264791445687641
예고편 보면서 기다리기,N,0.41745647686786236
트메 빨리 보고싶어요,🥺,-0.12234048253781617
최현석  썸데이 씨어터,🔥,0.9739611262199799
안녕저는 한국어 공부를 하고 있습니다,N,-2.1092843017379237
기다려주세요 사랑해요,❤,-0.44573134233335554
드리핀 드리핀과함께하는멘션파티 와 이때 진짜 미쳤었는데,N,-0.04540978919067342
하겠습니다 엠카운트다운,N,0.11089387080307489
아 왕자님하프린수야 하,❤,-1.1483739970621567
오늘 밤 시까지 분 원하시는 치킨 드립니다얼굴 개도랏맨 하,❤,-0.2796491510937048
스트레이키즈 리노 리노  스트레이키즈  난 이지 풀콤도 못하는걸,N,0.649797408700385
트친과입맛궁합알아보기마라탕이랑 민초는 많이 안먹어봐서 맛을 몰라용,N,0.6539804669766898
미더덕 생굴 닭발,❤,-1.280420273644704
막창  진짜 킹받구 ㅠ 짜증나 ㅠ,N,0.24807252078273143
칠보고 죠스바 선우,💖,-0.06967038111614711
,🥺,-1.0874061110648305
민서야 이토시나몽,💖,0.2881739985619581
드리핀 드리핀과함께하는멘션파티 올려드린 세 사이즈 모두 링크 드릴께욥예쁘게 사용해주세요,💖,-1.1331054297155387
천재라니 너무너무 고마워 알럽유,N,0.4147608138906872
마이 러브 동글동글언니이,😆,0.208941281303642
꿈꾸는라디오 완료,💕,0.6549926357833161
유주 놀이 아직 하고있나요,N,-0.22605394685674474
포카라도 나눔해야할까,N,-0.9730537057960632
테스트컷   혹시라도 빌보드 블락 하신 분들 계시면 해제 하세요,N,-0.40704658038785974
우리가 유난히 집계가 잘 안되는 이유중의 하나가 그게 아닐까 하는 말이 있어서요,N,-0.8936365761036819
지금 쓰는 방법이 맞는거같아서다행이긴한데,N,0.7748891971033969
우리도 모르는걸 저들은 하구있었다구,N,1.1419133455163297
어떠케   오빠 라면 먹었갈래,N,-0.5791292757934767
일시까지 투표하고 이어서 보면 딱 되겠다 그쵸,N,-0.9518339356758355
ㄴ선 한번 긋다 휜거는 흐린 눈 해죠여,N,-0.9068999554672651
민쉬가 진짜 날씨를 조절할 수 있다면 드리밍 볼때 날씨는 어떨까용,N,-0.040590709719202506
체력은방력 방업단은천천히꾸준히방탄은아미를건강하게해,N,1.319224534364511
음 실제론 썩어있어요,N,0.5081879446365254
ㅇ ㅖ 원투님 안구는 소중히,N,-0.7780597055200994
최예나  엠카운트다운지구미들의아픔 슬픔 외로움을 잊게 해줄,😆,-0.4091361464759295
지구 기혀니 젛은점 노래 안빼구 일단 불러줌,😆,0.23202035588526776
저요저어 초멘 괜찮죠,N,-0.2949266729396551
ㅇㅂㅅ뭔일이래요저 도쿄인데 벌써 진이 파자마 왔어요,N,0.562551051221859
일케 겉옷으로 힙하게 입고 나가볼까봐요,😆,0.15465939855408012
저 키 인데 엠사서 작으려나 걱정했는데 딱 맞춤이에요,N,0.7686788658009168
석진아 너무 예쁘다,😍,0.8777748542829074
지금 바로 씻기전에 라이브,😆,-0.22286979202450985
엠카운트다운 출연 안내 잠시 후 여섯시,N,1.6118126245274487
엠카운트다운에 미연이 출연합니다,N,-0.9722408316259834
크흠 요즘 많이 바빠보이구 힘들어보이던데 ㅠ 무슨일이나 고민있음 말햐 아무것도 모르는사람이 말하는 답도 은근 도움될때가 있더라구 사랑해 오프로 만났으면 좋겠다,❤,1.8441780501532923
참지않는 연하,N,-0.23668542183052635
난 극우성이 아닌거야,N,0.29519214598876425
당장 낼 천명 넘을수도,N,1.2213356339286783
숨좀쉬자 가 분명 대박 날건데,N,-1.1756444972315412
담주 위 하면 주 연속 신기록이에요,N,-0.43102826337433175
ㅇㅍ 보기 싫어서라도 어떻게든 막아야죠,N,0.5310200716113016
화이팅  함께인 것을 알기에 든든합니다,🥰,1.736967768549664
꼬리에 꼬리를 무는 그날 이야기가끔보는데,N,2.740392914401895
버터야 힘내자   함께인 것을 알기에 든든합니다,🥰,-0.10601644781365875
투달곰쓰 와잏엇형아 생일 축하하고 왔습니다,✨,0.9709464753158364
음악관련 단어를 해시와 함께 써주시는 것이 필요하다고 하네요,N,1.7743016315723834
입니다  자켓 어깨 최예나 천국,🥺,0.469905267738173
한번이라두 해주세요,💜,-0.8142643069970281
이재명만은 떨궈야 한다는 마음으로 윤석열을 선택해야만 했을 때는 마음이 너무 무거웠는데 윤석열도 생각외로 나쁘지 않다는 생각으로 조금 포지티브하게 마음을 열고나니 이젠 너무도 홀가분하다,N,0.01942616830081666
희로애락 킹덤 단,N,1.058331431525534
카엘오하화  아오이 쌍둥이 생일 컵홀더 협력진 공개,💙,-1.2207401564429743
쌍둥이들의 생일 축하를 위해 협력해 주신 분들에게 진심으로 감사의 인사를 올립니다,N,-1.6344478248446714
픽시 윈시   이거 그 자체,N,1.2022477777873368
민모션 화가 업데이트되었습니다,N,-0.4569681667550227
잘 부탁드립니다,N,0.018147781583438882
어르신 분들이 입은 보라색 외투도 예 는 정말 성실하고 착한 거 같아요,N,0.3151000389359073
처음에 좀 두렵고 걱정되어서 저렇게 잘나가는데 어쩌지,N,-0.37152209793238045
나한테 불친절하면 어떡해,N,0.6366438984806949
근데 왔을 때 와 진짜,N,0.21382494867929397
김호중나태주자서전주중주말호중사 소중한 우리 별 김호중지금까지처럼 당당하고 거침없이 달리는거야가자,N,-0.5185487025026871
김호중나태주자서전주중주말호중사랑김호중 김호중자서전 소중한 우리 별 김호중지금까지처럼 당당하고 거침없이 달리는거야가자,N,-1.4686219260117157
김호중나태주자서전주중주말호중사랑김호중 김호중자서전 김호중마음을치료해주는힐링가수너무나 사랑합니다 소중한 우리 별 김호중사랑아지금까지처럼 당당하고 거침없이 달리는거야가자,N,-0.2815502225103584
민서가 안 잘생겼을 때,N,-0.6499938526820188
너는 항상 완벽한 민서야,N,-1.367204000596745
드리핀 드리핀과함께하는멘션파티,N,-0.9363113574659927
팔로우 이벤트,👉,-1.1436233530508866
행복한 하루 마무리 잘 하길 바래요,💜,0.13943979611187438
엄마 제발,🥺,-0.2531417593118488
희로애락 킹덤 단,N,-0.6751674782703473
,N,-1.593365776556296
아 회사에 테라리움 가끔 열어서 환기해줘야 하는데,N,-1.4959421108769362
우렁차게 성악발성으로 노래해놓고세상 귀엽게 커피 머시며 형아의 따봉에헷,N,-0.7733826622939758
아아 너무 귀하다 우리 밍구,😍,-1.8144731512432135
슈퍼스타더보이즈 슈스덥 왔다 라이브테마,😎,-0.5773686541047839
더보이즈는 슈스더비 마음이라는 도화지에 그림을 그려,N,1.3366466887923347
멤버들이 어떤 그림을 그렸을지 궁금하지 않아요,N,0.68629098740556
난 원래 거의 다 일코용을 써서,N,-0.1693518145674595
그래서 간단히 넣으려다가 아무튼,N,2.368384013652931
잘생겼고 핫트렌딩송이란 세계 여러나라 사람들이 많이 알고 실제로 듣는게 위지,😎,-0.6648641543174512
핫트렌딩송이란 세계 여러나라 사람들이 많이 알고 실제로 듣는게 위지,😎,0.9094581220016875
지금까지 찍은 우리 집 고양이 사진 중에서 가장 멋지게 찍은 사진이라고 생각해,N,-0.19634332615980488
만족스러운 우리 집 스핑크스,N,0.360299399976736
온라인 쇼케이스도 멋지게 마무리,N,-2.311092209298812
활동도 우리 쭈욱 함께해요  아돌라멋진챌린지,😎,0.1277366860769662
드리핀 아이돌라디오,N,0.13115117577828617
저 알베르트 나츠야 이쿠야아사히디엠주세요,N,-1.3545441218467846
낮 낮 도장 각각 개막공이 얼마 안남았지만 혹시 있으시면 멘션디엠 주세요,🥺,0.36315612666603503
데드풀만왠 젤리같은걸 들고있냐하시면젤리왹져들 사이에끼기위한방편이기때문에,N,0.6211082399727748
심비오트들 어차피숙주없으면젤리들이잖아요,N,-0.04071318095672659
우주토끼 차 샘플이에요,N,-1.8086815859728798
눈매 자체는 마음에 들게 나왔지만 수정할 부분이 있는 것 같아 차 샘플까지 가겠습니다,N,-0.5864573865748391
이미 뵤한 느낌이 있어서 차도 잘 나올 것 같아요,🥰,-0.27545491222863544
무속성우주토끼 국 쟈니 이렇게 갑자기 나타나서 아아악 하고 저음으로 영어하면 쟌프는,N,1.8932808824284624
오늘도 도경수 엑소디오,N,-0.9867127474771804
으로 두 분만 받습니다,N,1.4300536888826747
이번주와 다음주 악당 대공님의 귀하디귀한 여동생은 휴재입니다,N,-0.8429897985900804
이 그림은 수도에 있었을때 데이먼의 숙제를 하다가 골아떨어진 아닛사,N,0.015565844024198264
케플리안 여러부우운,N,0.8538709251117799
안 오면 후회한다다,💗,-1.3676559259409597
배포 목록더블크로스 타이만 회문시날,N,-1.7776863971988888
더블크로스 인 테겜,N,1.1732706059869704
더 갖고싶죠 그럼요,N,-0.3983673728970562
그럼 가져야죠대신 꼭 기억해주셔야 합니다,N,0.3946245166960139
수령 후 추첨예정 한 명,N,-0.8407841977257102
인생 네컷 포즈여,N,0.1945473045021034
쟤를 찍어주면 공식적으로 국민의 지지를 받는게 되어요,N,1.1690747930183034
그게 뭐 어떻냐구요,N,-0.23157465708578087
허경영은 밈이 아닙니다,N,0.26455072099199367
완깐 슛기 티존 환장하게 예뻐서 또 미치겠다이 와중에 발음,N,-1.0174625140591453
엘르 코리아가 주년을 맞이했습니다,N,-0.659714396699369
축하축하요  데릭 아직도 모르겠어,N,-0.587972054966914
나는 로잘린을 사랑해,✨,-0.0772062709028555
새롭게 시즌 으로 돌아온 악당의 아빠를 꼬셔라많이 기대해주세요,N,0.2693633002578565
시즌 복귀악당의 아빠를 꼬셔라 화,N,-0.7358454463092594
찬찬히 행복하게 보겠습니다,N,-0.11651260249022705
퍼스트룩 핑크승관,N,-0.2538240339658858
승관 홀리하다 진짜 예뻐,N,-0.04588770014537603
진짜 예뻐 진짜 예뻐,N,0.5184744880150086
저도 두장 뽑는데,N,-0.6417238819782045
티오원을 위해노력하느라 고생이 많아,N,-0.32108368689342254
우리 같이 더 힘내서 멋있는거 많이 만들자화이팅,🥰,0.7792798647132043
티오원  멍냥톢 오무라이스 버즈 에어팟 둘 다 진행해요,✌,-1.3826130300429298
오아아아아 ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ 최고,😁,-0.4401214363448454
본방사수 잠시 후 시 준꽌찬과 함께하는 호캉스,✌,1.1736242303344515
장발피어싱낭창몸한 미인이 른이 아니라면 그것은 범죄입니다 거기다 연상이라니,✌,0.08024449277751554
연상수의 절대조건,✌,0.7922211744940534
잠깐의 라이브,N,0.33081278820267335
디크런치 마마무 문별 누나가 찍어주신,🥺,-2.026825845450524
네 앞에만 서면 별누나 신곡  많관부,✌,1.294055855432763
크래비티 잉글리쉬라인,✌,0.009589423196923347
크래비티 앨런 정모 태영,N,1.546169478272564
장정의 더우인여러분 시간이 됐어요,✌,0.5399407425526948
장정의 장징이,N,0.6985328889417948
티오원 노트북이 빠지니 짐이 확 줄어서 너무 편하고 좋다,✨,0.6787321382289235
최강조합 몬스트로,✨,0.7713386813652668
빨대 귀여움김선호 너무 귀여워,N,-0.08629505771561506
너무 이뻐 유빈이 눈부셔,✨,-0.6193752940424913
오세훈 해적 도깨비 깃발 퍼스트룩 표지 화보 공개,✨,0.6619516518845556
오세훈 엑소 해적도깨비깃발  미쳤다 미쳤어,N,1.7210732667584827
해적 아니라 해해적도깨비깃발 퍼스트룩 화보 공개,✨,-0.49492656566260407
대존잘 배우들의 반전 변신을 보고 싶다면,N,-0.05866035192859745
에 에우리 프롬이들 무대 보느라매일매일 이렇게 벅차올라,🥰,0.9613451422794174
프로미스나인 엠카운트다운,N,0.5991801622454539
어 학교와 아동학대,N,-0.786355290981431
촴내 별 내말이 우리 무조건 남친도 없어요 남편도 없어요 애기도 없어요 없어요 없어요 봇이였는데 어느 순간부터 왜 그러는지 모루겐네,N,-1.1612817486982456
애인도 남매라고 우기던 우리 잊지말자애니 알 유 오케이,N,-1.6791527949598488
알 유 오케이 애니,N,0.3014079234423692
대본리딩 안효섭김세정 비주얼 케미 갓벽,✨,-2.398069551140627
내장님 커미션,✌,0.2290339679353541
씻기전에 라이브,😆,-0.26330449528811045
케플러 쌤들의 방과후 댄스 교실,❤,-1.158023636137433
우주소녀 쪼꼬미 다영 몬스타엑스 기현 영상 도착,❣,2.385249382182037
어서 확인하세요항상 기다려주셔서 감사합니다,💚,-1.3261627939485348
리트윗 누르고 댓글달아줭,❤,-0.5612663302140157
나 떨고있나 풀버전,👉,-0.06711440295099545
포근하고 따뜻한 푸른 밤 보내길 바라요,💙,0.6670236850751292
퓨즈퓨즈퓨즈퓨즈,🥺,0.04435891540201743
위팀은 공계가 나서서 독려 하더라구요,😂,-1.0665532006590297
잘생기고 이쁜 형님 누님들 찾아요,❤,-0.6341197963299005
남 여,👍,0.012737125404739933
했어요 넘 반가워요 채소님ㅠㅠㅠ 예전 분들 만나면 왜이리 반갑지요,😂,0.1301018200851039
구매 해주셔서 감사합니다,❤,0.5415389300030643
지훈  모모랜드 제인 선배님과 성공,💯,-0.578702632015949
제인   모모랜드 제인 선배님과 성공,💯,-0.7026702635381947
제인  모모랜드 제인 선배님과 성공,💯,-0.5468418021481473
모모랜드 제인 선배님과 성공,💯,0.6281935799259682
제인  펙트체크,💯,-1.6830239592729312
상품 안내퍼리즈 교환 티켓 명 클레온 홀더대상 명 전체 인원 대상 명 추첨,✌,0.49291395808687954
퍼리즈 교환 티켓 명 클레온 홀더대상 명 전체 인원 대상 명 추첨,✌,-1.4569788796054046
의역오역을 포함해요재밌게 봐주세요,💙,-0.015123626354554049
리트윗 해주시면 랜덤사진 발송해드립니다,😊,1.1368529878804332
투모로우바이투게더  오늘도 아미들이랑 함께여서 행복,😁,0.060977665353276755
해치지않아스우파 화 예고,❣,-0.054843371547564614
리더즈가 행복하면 된거야국가대표 댄서들의 본캐찾기 여행해치지않아스우파 목 밤  새해 첫 프리스타일,🤭,1.032506731162991
까지캐럿 큐빅의 최애 편과 명장면은 마이크 없이도 들려 굿즈 종 출시 여러분의 책상에 펼쳐질 신세계,🤭,-0.9356496680090338
그리고 루나 멤버들의 풋풋한 모습,🤭,0.5073766811346113
소눈 표현이 넘 귀여우세요,😆,0.1004459851947661
거기에 따뜻한 커피한잔 꺄아아악,🤭,-0.5721885088266072
최대한 큰 화면으로 본다 좋은 건 크게이 가지는 꼭 잊지 마세요,❣,1.7095111963256282
주접스티커 통판,❣,-0.6605893876328648
추첨일,💜,-0.9985136597895221
홍대입구역 광고시간월일월 일,❣,-2.050386568293887
트친한정  위 축하해,❣,1.5994983601596098
그리고 스페셜클립 도 다시 보자,💙,1.5099884390957294
출장키스방영동여대생,💙,-0.0926161354251711
다 잘하는 우리 완디,💙,-1.1715887082324346
기념으로완디 셀카 컷들 공개합니다,✨,-0.767611720031101
잠시후 오후 시에 만나요,💜,-0.39827188934632696
함미다민서의 메시지를 받고나서 자고싶어요,😭,0.08671105122869703
,😑,-0.2193040399263948
아이고,😑,-1.0038991896657528
크정국아    아니야,😑,-0.6590294384784146
니가 책임져,😑,-0.11994066201848326
봄툰 레진 둘다 할인했음 좋겠어요 리디는 바라지도 않음,😑,-0.04939300755799399
야 꾸밍아 안 그래두 너한테 카톡 보냈는데,😑,0.6019532156941375
오함마가 필요하네,😑,1.0339845739579978
어제 이것도 올리려고했는데,💜,0.12787335082609866
추첨 분께한입거리 세트 보내드려용,❤,1.3007987603230606
통판 열엇습니당 추첨 분께한입거리 세트 보내드려용,❤,0.6520496648624377
윈드모해 애교만땅,💜,0.6388511466185263
긍정만땅 노래조아,💚,-1.1206515314023777
새우튀김 우동도 느끼하지 않 헤헤,🤤,-0.4842763082326792
사람 피말리게함 살짝 감은 눈,🤤,0.5913007429821794
천국은 없다 환타 저천국은없다 안태주 오야붕,🤤,-0.9983913790193925
패댁넘 귀여워요 흐아악,🤤,0.3486598739850753
진짜 너 무 기여워,🤤,1.5920980979924655
해적 도깨비 깃발 출장십오야열정 해적선 단원들과,🔥,-0.16100258275290744
보러 가기,💗,0.3404107164730042
폼 오픈기간 월 일 월 일 까지,❤,0.20932165201855696
이런 대박 기회를 놓칠 순 없지,👉,0.9266071830993442
금요일은 리스팅 쉬어가는날토요일 저녁엔 명화 샤냥이 경매가 있으니많은 관심 부탁드립니다,❣,-1.791466157671615
너무 좋겠구요 최고의 칭찬,😭,-0.6553251771058499
잠시 후 시 준꽌찬과 함께하는 호캉스,✌,-0.14100905211612477
함께 해주세요,💜,-1.6672643461586105
문별  온마음 다해 널,😊,0.38099857981398494
,😎,2.156902311877896
거진 달에 걸친 대장정이 끝났습니다우여곡절이 많았지만 만족해요,❣,-1.124272726177818
여자아이들  임영웅 웰메이드 호랑이 기운을받아 새해에도 건행,💙,1.2280956263899923
달디와 함께오늘도 시간 함께 꿈꾸라,💚,-0.13752223025499402
달디와꿈꿔라 추첨,💗,-0.8889878385165987
오픈했습니다월 일까지 폼 제출해주시는 모든 분들께 미니 하트밤 키링 넣어드려요,💗,-0.6658153110139563
고양이 인사하는 선우,🥺,0.3685026278411153
ㄴ왜ㄴ 진진라키 목소리가 너무 달콤해서,🤤,0.6118765729065593
스페셜클립  에서 가장 수익성 높은 유틸리티를 가진 가장 인기있는 새로운 토큰을 확인하십시오,🔥,-0.2997548034274948
에서 가장 수익성 높은 유틸리티를 가진 가장 인기있는 새로운 토큰을 확인하십시오,🔥,0.6158345613698303
투표권 회수 잊지 마시고 계속 힘내주세요,🔥,1.2212804846651824
협력 징짜 너무 많은 축하랑 행복을 주셔서 감사함니다아아,😘,0.7520669782842916
컴백 축하해,❣,1.3080814035102213
영원히 끝날 거 같지 않던 트맵 시즌도 끝이 났습니다,🥺,0.4454272780237545
시즌도 그렇고 막방 보면 울컥하네요ㅠㅠ제작진분들 너무 감사드리구 멤버들도 진짜 고생 많았다ㅠㅠ,💜,0.18159126965873765
ㄱ 올영 트친 급구올영 담당자도 친구를 만들기로 마음 먹었읍니다,💚,-2.008705158364908
제가 원더킬포랑 상성이 잘맞는것같습니다하루종일 이영상만 보게되는군요,😎,-2.3823057305159727
저스트비 양도합니다반택 준등기 가능싸게 드립니다ㅠ 웬만하면 에눌 맞춰드려요트친가좍들 알티 부탁,💙,-0.3323431179320672
주접스티커 통판,❣,-0.47262836112329104
예쁜 애 옆에 예쁜 애의 정석 케플러,💜,0.4767468373155967
민서야오늘 는미피면 당연히 뮤트를 안 그릴 수가 없잖아요,😭,0.2682651061576428
나랑 준기래기여워서 자결해버림,🥺,0.09643282653220503
저 이거보고 화가 나서말 목이 확 꺾여서,😭,0.3227785271775429
원투님의 지대쩌는 라임에 또한번 반해벌이는 홀올옥,❤,1.9365448197128567
자석이 오른쪽 엉덩이에 있습니다,😂,1.909235102028127
지금은 덮개 위에 화분 올려뒀음,😂,1.4220479312285543
년 연말에 코시국땜에 아무데도 못가서 심심한 나머지 신장판 나온거 보고 만화책이나 보자고 전권지름의 결과완독후 바로 입덕서칭일웹탐사국내온리전탐라입성은인을 만나 회지를 얻어읽고사고 또 사모아서 현재에 이르렀다네,😂,-1.168239035128886
즐거웠길 바래사랑해,🥰,-1.2230248329346918
만날 지민이 보고 실실 웃는다,😁,-0.4197776681149652
오늘은 좀 더 편안해졌는지 모르겠네 무리하지말고 천천히 회복하자 지민이가 최고,👍,-1.0360403240367695
쥬 체고다,🔥,1.156715661860177
헐 유밍깅 완젼 오랜만,❤,1.075821413067116
곤님지금 완전 쿠퍼액범벅인데봐주실 누나,❤,0.7190630039640553
라인 나 디엠으로 와주세요,😘,0.7496649429834749
년 월 일 일요일 오후 시 준희 하고 싶은 거 다 해,❤,0.16201728656375539
주학년 라포티셀앳스타일,❤,0.5489514104800608
알티이벤트안녕하세요 월 일은 테스타의 첫째 자랑스러운 천재 아역 배우 출신군 아이돌 가수 배세진의 생일입니다,🐹,0.07687754310922036
드립니다 팔로한정 월요병주치의 돌아왔슴다,😎,-0.1589815120655173
벌써 월 둘째주에요 컴백 언제 오나 언제 오나 기다렸는데 돌아오는 주만 지나면 곧 만나네요,🥺,0.11383750043333363
슬임님  내가 너무 사랑하는 그시절의태형이,😍,0.7447357612361295
월요병주치의 돌아왔슴다,😎,1.4143997212269117
개인용도로만 사용해주세요,🙏,0.3145831438987351
우리 곧 만날 거 생각하면서 내일부터 트레저도 트메도 모두,💕,-2.214939685475659
